freq,amp,stime,prc2
0.04,50,0.54,0.0
0.08,50,0.54,0.0
0.1,50,0.54,0.0
0.14,50,0.54,0.0
0.16,50,0.54,0.0
0.18,50,0.54,0.0
0.2,50,0.54,0.0
0.22,50,0.54,0.0
0.24,50,0.54,0.0
0.26,50,0.54,0.0
0.28,50,0.54,0.0
0.3,50,0.54,0.0
0.32,50,0.54,0.0
0.34,50,0.54,0.0
0.36,50,0.54,0.0
0.38,50,0.54,0.0
0.4,50,0.54,0.0
0.42,50,0.54,0.0
0.44,50,0.54,0.0
0.46,50,0.54,0.0
0.48,50,0.54,0.0
0.5,50,0.54,0.0
0.52,50,0.54,0.0
0.54,50,0.54,0.0
0.56,50,0.54,0.0
0.58,50,0.54,0.0
0.6,50,0.54,0.0
0.62,50,0.54,0.0
0.64,50,0.54,0.0
0.66,50,0.54,0.0
0.68,50,0.54,0.0
0.7,50,0.54,0.0
0.72,50,0.54,0.0
0.74,50,0.54,0.0
0.76,50,0.54,0.0
0.78,50,0.54,0.0
0.8,50,0.54,0.0
0.82,50,0.54,0.0
0.84,50,0.54,0.0
0.86,50,0.54,0.0
0.88,50,0.54,0.0
0.9,50,0.54,0.0
0.92,50,0.54,0.0
0.94,50,0.54,0.0
0.96,50,0.54,0.0
0.98,50,0.54,0.0
1.0,50,0.54,0.0
1.02,50,0.54,0.0
1.04,50,0.54,0.0
1.06,50,0.54,0.0
1.08,50,0.54,0.0
1.1,50,0.54,0.0
1.12,50,0.54,0.0
1.14,50,0.54,0.0
1.16,50,0.54,0.0
1.18,50,0.54,0.0
1.2,50,0.54,0.0
1.22,50,0.54,0.0
1.24,50,0.54,0.0
1.26,50,0.54,0.0
1.28,50,0.54,0.0
1.3,50,0.54,0.0
1.32,50,0.54,0.0
1.34,50,0.54,0.0
1.36,50,0.54,0.0
1.38,50,0.54,0.0
1.4,50,0.54,0.0
1.42,50,0.54,0.0
1.44,50,0.54,0.0
1.46,50,0.54,0.0
1.48,50,0.54,0.0
1.5,50,0.54,0.0
1.52,50,0.54,0.0
1.54,50,0.54,0.0
1.56,50,0.54,0.0
1.58,50,0.54,0.0
1.6,50,0.54,0.0
1.62,50,0.54,0.0
1.64,50,0.54,0.0
1.66,50,0.54,0.0
1.68,50,0.54,0.0
1.7,50,0.54,0.0
1.72,50,0.54,0.0
1.74,50,0.54,0.0
1.76,50,0.54,0.0
1.78,50,0.54,0.0
1.8,50,0.54,0.0
1.82,50,0.54,0.0
1.84,50,0.54,0.0
1.86,50,0.54,0.0
1.88,50,0.54,0.0
1.9,50,0.54,0.0
1.92,50,0.54,0.0
1.94,50,0.54,0.0
1.96,50,0.54,0.0
1.98,50,0.54,0.0
2.0,50,0.54,0.0
0.0,100,0.55,0.0
0.02,100,0.54,0.0
0.1,100,0.54,0.0
0.14,100,0.54,0.0
0.16,100,0.54,0.0
0.18,100,0.54,0.0
0.2,100,0.54,0.0
0.22,100,0.54,0.0
0.24,100,0.54,0.0
0.26,100,0.54,0.0
0.28,100,0.54,0.0
0.3,100,0.54,0.0
0.32,100,0.54,0.0
0.34,100,0.54,0.0
0.36,100,0.54,0.0
0.38,100,0.54,0.0
0.4,100,0.54,0.0
0.42,100,0.54,0.0
0.44,100,0.54,0.0
0.46,100,0.54,0.0
0.48,100,0.54,0.0
0.5,100,0.54,0.0
0.52,100,0.54,0.0
0.54,100,0.54,0.0
0.56,100,0.54,0.0
0.58,100,0.54,0.0
0.6,100,0.54,0.0
0.62,100,0.54,0.0
0.64,100,0.54,0.0
0.66,100,0.54,0.0
0.68,100,0.54,0.0
0.7,100,0.54,0.0
0.72,100,0.54,0.0
0.74,100,0.54,0.0
0.76,100,0.54,0.0
0.78,100,0.54,0.0
0.8,100,0.54,0.0
0.82,100,0.54,0.0
0.84,100,0.54,0.0
0.86,100,0.54,0.0
0.88,100,0.54,0.0
0.9,100,0.54,0.0
0.92,100,0.54,0.0
0.94,100,0.54,0.0
0.96,100,0.54,0.0
0.98,100,0.54,0.0
1.0,100,0.54,0.0
1.02,100,0.54,0.0
1.04,100,0.54,0.0
